Source;Target;Weight
1;4;3767
2;4;1704
3;4;516
4;21;494
1;7;472
5;4;394
6;4;337
7;4;305
8;1;241
9;1;230
3;1;203
8;18;195
1;5;163
4;40;152
3;7;147
8;4;142
4;36;139
4;25;136
5;7;118
10;7;111
11;4;110
12;40;102
12;1;111
13;1;98
6;1;96
1;2;95
4;27;93
13;7;88
8;5;85
8;7;81
14;1;76
6;3;77
14;7;74
6;7;77
13;4;70
15;1;67
4;38;67
16;7;67
4;29;61
8;3;60
11;7;58
10;4;61
17;4;56
12;4;74
9;2;55
10;1;56
7;40;60
14;4;53
16;4;54
8;12;51
4;37;51
1;21;49
1;28;51
7;36;45
15;9;44
14;12;42
1;11;41
6;5;43
3;12;43
1;36;40
8;28;39
6;12;41
12;7;55
18;28;40
6;9;37
19;4;36
9;3;35
13;8;34
12;5;38
8;6;32
8;27;33
15;2;31
13;6;31
13;3;31
1;38;30
5;38;28
18;3;30
13;40;27
13;5;27
4;28;30
7;27;36
7;21;31
17;29;25
20;4;24
16;1;24
3;21;26
14;13;24
18;4;34
6;11;25
3;5;23
10;8;26
12;37;23
1;37;23
8;40;23
13;12;22
14;5;22
7;38;24
6;18;23
13;27;21
9;4;23
14;10;20
16;12;20
18;1;24
12;38;19
3;40;20
8;21;18
1;27;21
5;21;20
8;11;19
18;40;20
2;7;19
10;12;18
14;8;16
10;5;17
7;28;18
4;35;16
19;7;17
7;37;17
11;5;18
8;38;15
13;10;16
15;6;15
9;26;14
13;18;14
6;40;15
21;40;17
12;11;14
18;7;23
1;40;15
14;21;13
14;11;13
13;21;13
9;40;12
16;19;12
14;27;11
6;21;12
18;12;13
16;8;11
14;3;11
10;11;11
22;6;11
23;4;11
17;36;10
18;5;13
6;27;12
10;27;14
11;21;11
24;11;10
9;37;10
25;38;11
13;11;9
26;1;9
14;38;9
27;40;9
19;1;10
12;27;13
8;22;9
7;25;8
9;7;9
12;21;12
5;36;8
28;27;13
3;28;8
4;39;8
1;25;8
22;4;8
29;38;11
12;39;8
17;39;8
15;41;7
30;5;7
13;28;7
5;28;9
15;4;7
31;4;7
12;28;10
18;27;11
10;21;8
22;3;7
3;24;7
3;11;8
6;32;7
8;25;6
18;21;6
10;28;6
10;18;6
30;1;6
15;26;6
8;36;6
8;31;6
2;37;6
10;6;7
32;4;6
5;29;7
18;31;6
10;3;6
9;41;5
15;21;5
3;38;5
5;25;6
8;2;5
20;7;5
10;38;5
8;30;5
8;37;7
26;4;5
16;2;5
24;5;5
24;4;5
17;1;5
9;11;5
7;29;6
32;3;5
16;25;5
12;25;5
6;25;4
30;4;4
8;9;4
9;5;4
20;8;4
20;1;4
3;36;4
13;9;4
13;37;4
12;35;4
15;7;4
15;27;4
26;27;4
18;38;5
6;2;5
22;12;4
14;16;4
5;37;5
17;5;4
29;25;7
11;29;4
2;42;4
17;7;4
11;28;4
16;37;4
14;23;4
13;23;4
17;38;4
22;5;4
6;37;4
12;29;4
15;8;3
13;25;3
14;9;3
2;5;4
20;27;3
22;27;3
14;28;3
10;36;3
27;21;6
28;38;3
20;25;3
25;36;3
6;36;4
16;3;4
15;37;3
13;36;3
5;27;5
6;24;3
8;19;3
13;38;3
6;28;4
16;28;3
9;42;3
3;27;3
6;38;3
19;32;3
1;39;3
11;38;3
6;17;3
18;11;5
17;12;3
11;40;3
1;41;2
10;33;2
33;7;2
5;35;3
20;28;2
8;29;2
20;16;2
34;9;2
21;36;2
14;40;2
14;18;2
9;27;2
9;10;3
9;12;2
9;18;2
3;2;2
2;36;2
15;10;2
33;1;2
33;5;2
2;21;2
9;21;2
1;35;2
7;35;2
35;37;2
6;41;2
2;41;2
18;36;3
13;43;2
14;43;2
7;44;2
30;37;2
32;27;2
16;9;2
34;26;2
20;5;2
14;6;2
36;12;2
10;2;2
21;38;2
13;2;2
9;19;2
16;29;2
32;1;2
19;27;2
15;3;2
3;37;2
37;25;3
37;38;2
8;17;3
22;1;2
14;36;2
1;45;2
38;40;2
34;4;2
1;43;2
13;16;2
37;36;2
22;11;2
23;7;2
7;39;3
17;19;2
5;46;2
37;40;2
20;17;2
20;29;2
6;23;2
8;44;2
30;11;2
30;44;2
11;44;2
3;43;2
6;30;2
25;39;3
17;25;2
30;28;2
22;7;2
14;22;2
28;40;3
10;40;3
31;40;2
27;25;1
14;2;1
8;23;1
5;23;1
23;38;1
9;28;1
37;10;2
13;35;1
6;35;1
35;40;1
35;21;2
35;3;1
30;3;1
34;1;1
15;36;1
33;8;1
33;4;1
33;28;1
33;6;1
26;7;1
26;21;1
26;6;1
26;10;1
31;1;1
4;41;2
26;2;1
24;7;1
18;2;2
6;29;1
29;3;2
12;31;1
2;25;1
27;38;2
21;16;2
20;37;1
36;40;1
33;3;1
33;12;1
27;2;1
13;17;1
27;17;1
17;10;1
37;11;1
13;15;1
6;47;1
19;41;1
20;9;1
19;18;1
37;29;2
17;21;1
1;29;1
29;36;1
15;16;1
15;19;1
9;32;1
11;25;1
10;20;1
20;11;1
1;23;2
9;38;1
16;41;1
19;25;1
14;24;1
7;41;1
2;12;2
20;18;1
16;32;1
13;22;1
22;23;1
23;12;1
17;2;1
8;45;1
19;39;1
37;21;1
11;36;1
8;35;1
20;36;1
36;27;1
22;24;1
6;46;1
16;23;1
22;37;1
13;39;1
30;38;1
13;24;1
1;24;1
8;39;1
18;29;1
17;35;1
17;37;1
25;35;1
39;35;1
39;29;1
39;5;1
39;37;1
35;29;1
37;27;1
18;22;2
22;25;1
22;38;1
12;32;1
32;2;1
16;39;1
20;6;1
31;28;1
34;37;1
16;5;1
22;28;1
10;31;1
31;7;1
17;18;1
17;40;1
24;27;1
3;31;1
5;40;1
32;11;1
6;44;1
24;38;1
28;44;1
32;40;1
22;40;1
13;31;1
38;36;1
32;5;1
15;17;1
32;29;1
