id;Label
1;перен.
2;поэт.
3;неодобр.
4;разг.
5;пренебр.
6;ирон.
7;прост.
8;жарг.
9;книжн.
10;груб.
11;презр.
12;обсц.
13;вульг.
14;бранн.
15;высок.
16;диал.
17;ласк.
18;мол.
19;нар.-поэт.
20;детск.
21;сниж.
22;интернет.
23;искаж.
24;полит.жарг.
25;умласк.
26;офиц.
27;эвф.
28;сленг
29;уменьш.
30;комп.жарг.
31;одобр.
32;нар.-разг.
33;дисфм.
34;канц.
35;увелич.
36;фам.
37;редк.
38;унич.
39;усилит.
40;экспр.
41;трад.-поэт.
42;торж.
43;табу
44;эррат.
45;техн.жарг.
46;студ.жарг.
47;укор.
